Currency Pair,Bid Price,Ask Price,High Price,Low Price,Change,Change Percent
,EUR/USD,1.0751,1.0753,1.0803,1.0744,-0.0040
,USD/JPY,150.55,150.56,150.75,149.84,+0.67
,GBP/USD,1.2888,1.2890,1.2950,1.2874,-0.0054
,USD/TRY,37.9829,38.0026,38.0558,37.9510,+0.0465
,USD/CHF,0.8844,0.8845,0.8851,0.8819,+0.0019
,USD/CAD,1.4282,1.4284,1.4299,1.4235,+0.0002
,EUR/JPY,161.86,161.88,162.61,161.64,+0.12
,AUD/USD,0.6290,0.6291,0.6331,0.6279,-0.0013
,NZD/USD,0.5724,0.5726,0.5763,0.5715,-0.0009
,EUR/GBP,0.8341,0.8343,0.8375,0.8333,+0.0002
,EUR/CHF,0.9508,0.9511,0.9546,0.9506,-0.0002
,AUD/JPY,94.69,94.72,95.19,94.27,+0.22
,GBP/JPY,194.05,194.08,194.79,193.48,+0.05
,CHF/JPY,170.21,170.23,170.51,169.76,+0.28
,EUR/CAD,1.5354,1.5356,1.5416,1.5343,-0.0057
,AUD/CAD,0.8983,0.8986,0.9020,0.8977,-0.0017
,CAD/JPY,105.40,105.43,105.87,104.94,+0.46
,NZD/JPY,86.14,86.19,86.66,85.80,+0.22
,AUD/NZD,1.0987,1.0989,1.1004,1.0974,-0.0008
,GBP/AUD,2.0488,2.0491,2.0591,2.0392,-0.0046
,EUR/AUD,1.7090,1.7093,1.7168,1.7050,-0.0028
,GBP/CHF,1.1398,1.1401,1.1443,1.1382,-0.0024
,EUR/NZD,1.8782,1.8785,1.8862,1.8729,-0.0037
,AUD/CHF,0.5562,0.5565,0.5595,0.5547,+0.0002
,GBP/NZD,2.2511,2.2516,2.2623,2.2398,-0.0060
,USD/INR,85.652,85.778,85.865,85.458,+0.132
,USD/CNY,7.2675,7.2688,7.2682,7.2579,+0.0113
,USD/SGD,1.3405,1.3409,1.3413,1.3356,+0.0055
,USD/HKD,7.7748,7.7777,7.7764,7.7740,+0.0016
,USD/DKK,6.9371,6.9410,6.9435,6.9062,+0.0251
,GBP/CAD,1.8407,1.8410,1.8494,1.8347,-0.0075
,USD/SEK,10.0534,10.0594,10.0696,10.0175,+0.0236
,USD/ILS,3.6918,3.6953,3.6983,3.6539,+0.0352
,USD/RUB,84.0701,84.0784,84.7000,83.6973,-0.5508
,USD/MXN,20.1331,20.1396,20.1686,20.0444,+0.0904
,USD/ZAR,18.2638,18.2812,18.2929,18.2029,+0.0277
,CAD/CHF,0.6191,0.6194,0.6212,0.6178,+0.0013
,NZD/CAD,0.8174,0.8177,0.8213,0.8171,-0.0011
,NZD/CHF,0.5060,0.5064,0.5093,0.5048,+0.0002
,BTC/USD,"86,908.0","86,912.0","88,589.0","86,057.0","-1,062.0"
,BTC/EUR,"80,654.1","80,654.2","81,862.3","79,849.0",-777.7
,ETH/USD,"2,005.12","2,005.13","2,082.99","1,981.60",-59.39
